timestamp,event,session_id,strategy_id,ticket,symbol,direction,volume,price,reason,signal_reason,equity,data_mode,pnl
2025-11-16T14:41:06,OPEN,mt5_import_20251121,imported,5279810861,NAN,balance,,,imported_history,,,live,
2025-11-17T06:01:12,OPEN,mt5_import_20251121,imported,5635670514,EURUSD,buy,0.05,1.15979,imported_history,,,live,
2025-11-17T06:01:14,CLOSE,mt5_import_20251121,imported,5635670514,EURUSD,buy,0.05,1.15975,imported_history,,,live,-0.2
2025-11-17T07:59:04,OPEN,mt5_import_20251121,imported,5636945730,EURUSD,buy,0.1,1.16008,imported_history,,,live,
2025-11-17T07:59:04,CLOSE,mt5_import_20251121,imported,5636945819,EURUSD,sell,0.13,1.16008,imported_history,,,live,-0.26
2025-11-17T07:59:04,CLOSE,mt5_import_20251121,imported,5636945730,EURUSD,buy,0.1,1.16006,imported_history,,,live,-0.2
2025-11-17T07:59:04,CLOSE,mt5_import_20251121,imported,5636945764,EURUSD,buy,0.1,1.16006,imported_history,,,live,-0.2
2025-11-17T07:59:04,OPEN,mt5_import_20251121,imported,5636945819,EURUSD,sell,0.13,1.16006,imported_history,,,live,
2025-11-17T07:59:04,OPEN,mt5_import_20251121,imported,5636945764,EURUSD,buy,0.1,1.16008,imported_history,,,live,
2025-11-17T08:07:43,OPEN,mt5_import_20251121,imported,5637061113,EURUSD,buy,0.1,1.15982,imported_history,,,live,
2025-11-17T08:07:43,CLOSE,mt5_import_20251121,imported,5637061113,EURUSD,buy,0.1,1.15981,imported_history,,,live,-0.1
2025-11-17T08:07:43,OPEN,mt5_import_20251121,imported,5637061124,EURUSD,buy,0.1,1.15983,imported_history,,,live,
2025-11-17T08:07:43,CLOSE,mt5_import_20251121,imported,5637061124,EURUSD,buy,0.1,1.15981,imported_history,,,live,-0.2
2025-11-17T08:07:44,OPEN,mt5_import_20251121,imported,5637061168,EURUSD,sell,0.13,1.1598,imported_history,,,live,
2025-11-17T08:07:44,CLOSE,mt5_import_20251121,imported,5637061168,EURUSD,sell,0.13,1.15982,imported_history,,,live,-0.26
2025-11-18T21:51:42,OPEN,mt5_import_20251121,imported,5668202115,EURUSD,buy,0.05,1.15864,imported_history,,,live,
2025-11-18T21:51:44,CLOSE,mt5_import_20251121,imported,5668202115,EURUSD,buy,0.05,1.15861,imported_history,,,live,-0.15
2025-11-18T22:38:04,OPEN,mt5_import_20251121,imported,5668621061,GBPUSD,sell,0.13,1.31481,imported_history,,,live,
2025-11-18T22:38:04,CLOSE,mt5_import_20251121,imported,5668621049,EURUSD,sell,0.11,1.15813,imported_history,,,live,-0.22
2025-11-18T22:38:04,CLOSE,mt5_import_20251121,imported,5668621013,GBPUSD,buy,0.1,1.31481,imported_history,,,live,-0.3
2025-11-18T22:38:04,CLOSE,mt5_import_20251121,imported,5668621030,GBPUSD,buy,0.08,1.31481,imported_history,,,live,-0.24
2025-11-18T22:38:04,OPEN,mt5_import_20251121,imported,5668621030,GBPUSD,buy,0.08,1.31484,imported_history,,,live,
2025-11-18T22:38:04,OPEN,mt5_import_20251121,imported,5668621013,GBPUSD,buy,0.1,1.31484,imported_history,,,live,
2025-11-18T22:38:04,OPEN,mt5_import_20251121,imported,5668621049,EURUSD,sell,0.11,1.15811,imported_history,,,live,
2025-11-18T22:38:05,OPEN,mt5_import_20251121,imported,5668621135,EURUSD,buy,0.17,1.15813,imported_history,,,live,
