timestamp,open,high,low,close,volume
2024-01-01 00:00:00,1.1000,1.1015,1.0985,1.1005,1234
2024-01-01 01:00:00,1.1005,1.1020,1.0995,1.1010,1456
2024-01-01 02:00:00,1.1010,1.1025,1.1000,1.1015,1678
2024-01-01 03:00:00,1.1015,1.1030,1.1005,1.1020,1890
2024-01-01 04:00:00,1.1020,1.1035,1.1010,1.1025,2012
2024-01-01 05:00:00,1.1025,1.1040,1.1015,1.1030,2234
2024-01-01 06:00:00,1.1030,1.1045,1.1020,1.1035,2456
2024-01-01 07:00:00,1.1035,1.1050,1.1025,1.1040,2678
2024-01-01 08:00:00,1.1040,1.1055,1.1030,1.1045,2890
2024-01-01 09:00:00,1.1045,1.1060,1.1035,1.1050,3012
2024-01-01 10:00:00,1.1050,1.1065,1.1040,1.1055,3234
2024-01-01 11:00:00,1.1055,1.1070,1.1045,1.1060,3456
2024-01-01 12:00:00,1.1060,1.1075,1.1050,1.1065,3678
2024-01-01 13:00:00,1.1065,1.1080,1.1055,1.1070,3890
2024-01-01 14:00:00,1.1070,1.1085,1.1060,1.1075,4012
2024-01-01 15:00:00,1.1075,1.1090,1.1065,1.1080,4234
2024-01-01 16:00:00,1.1080,1.1095,1.1070,1.1085,4456
2024-01-01 17:00:00,1.1085,1.1100,1.1075,1.1090,4678
2024-01-01 18:00:00,1.1090,1.1105,1.1080,1.1095,4890
2024-01-01 19:00:00,1.1095,1.1110,1.1085,1.1100,5012
2024-01-01 20:00:00,1.1100,1.1115,1.1090,1.1105,5234
2024-01-01 21:00:00,1.1105,1.1120,1.1095,1.1110,5456
2024-01-01 22:00:00,1.1110,1.1125,1.1100,1.1115,5678
2024-01-01 23:00:00,1.1115,1.1130,1.1105,1.1120,5890
2024-01-02 00:00:00,1.1120,1.1135,1.1110,1.1125,6012
2024-01-02 01:00:00,1.1125,1.1140,1.1115,1.1130,6234
2024-01-02 02:00:00,1.1130,1.1145,1.1120,1.1135,6456
2024-01-02 03:00:00,1.1135,1.1150,1.1125,1.1140,6678
2024-01-02 04:00:00,1.1140,1.1155,1.1130,1.1145,6890
2024-01-02 05:00:00,1.1145,1.1160,1.1135,1.1150,7012
2024-01-02 06:00:00,1.1150,1.1165,1.1140,1.1155,7234
2024-01-02 07:00:00,1.1155,1.1170,1.1145,1.1160,7456
2024-01-02 08:00:00,1.1160,1.1175,1.1150,1.1165,7678
2024-01-02 09:00:00,1.1165,1.1180,1.1155,1.1170,7890
2024-01-02 10:00:00,1.1170,1.1185,1.1160,1.1175,8012
2024-01-02 11:00:00,1.1175,1.1190,1.1165,1.1180,8234
2024-01-02 12:00:00,1.1180,1.1195,1.1170,1.1185,8456
2024-01-02 13:00:00,1.1185,1.1200,1.1175,1.1190,8678
2024-01-02 14:00:00,1.1190,1.1205,1.1180,1.1195,8890
2024-01-02 15:00:00,1.1195,1.1210,1.1185,1.1200,9012
2024-01-02 16:00:00,1.1200,1.1215,1.1190,1.1205,9234
2024-01-02 17:00:00,1.1205,1.1220,1.1195,1.1210,9456
2024-01-02 18:00:00,1.1210,1.1225,1.1200,1.1215,9678
2024-01-02 19:00:00,1.1215,1.1230,1.1205,1.1220,9890
2024-01-02 20:00:00,1.1220,1.1235,1.1210,1.1225,10012
2024-01-02 21:00:00,1.1225,1.1240,1.1215,1.1230,10234
2024-01-02 22:00:00,1.1230,1.1245,1.1220,1.1235,10456
2024-01-02 23:00:00,1.1235,1.1250,1.1225,1.1240,10678
2024-01-03 00:00:00,1.1240,1.1255,1.1230,1.1245,10890
2024-01-03 01:00:00,1.1245,1.1260,1.1235,1.1250,11012
2024-01-03 02:00:00,1.1250,1.1265,1.1240,1.1255,11234
2024-01-03 03:00:00,1.1255,1.1270,1.1245,1.1260,11456
2024-01-03 04:00:00,1.1260,1.1275,1.1250,1.1265,11678
2024-01-03 05:00:00,1.1265,1.1280,1.1255,1.1270,11890
2024-01-03 06:00:00,1.1270,1.1285,1.1260,1.1275,12012
2024-01-03 07:00:00,1.1275,1.1290,1.1265,1.1280,12234
2024-01-03 08:00:00,1.1280,1.1295,1.1270,1.1285,12456
2024-01-03 09:00:00,1.1285,1.1300,1.1275,1.1290,12678
2024-01-03 10:00:00,1.1290,1.1305,1.1280,1.1295,12890
2024-01-03 11:00:00,1.1295,1.1310,1.1285,1.1300,13012
2024-01-03 12:00:00,1.1300,1.1315,1.1290,1.1305,13234
2024-01-03 13:00:00,1.1305,1.1320,1.1295,1.1310,13456
2024-01-03 14:00:00,1.1310,1.1325,1.1300,1.1315,13678
2024-01-03 15:00:00,1.1315,1.1330,1.1305,1.1320,13890
2024-01-03 16:00:00,1.1320,1.1335,1.1310,1.1325,14012
2024-01-03 17:00:00,1.1325,1.1340,1.1315,1.1330,14234
2024-01-03 18:00:00,1.1330,1.1345,1.1320,1.1335,14456
2024-01-03 19:00:00,1.1335,1.1350,1.1325,1.1340,14678
2024-01-03 20:00:00,1.1340,1.1355,1.1330,1.1345,14890
2024-01-03 21:00:00,1.1345,1.1360,1.1335,1.1350,15012
2024-01-03 22:00:00,1.1350,1.1365,1.1340,1.1355,15234
2024-01-03 23:00:00,1.1355,1.1370,1.1345,1.1360,15456
